Row Labels,Sum of CNTD(INFO_DM_CASE_ID (copy))-alias,Sum of population,Sum of per_capita
HAMPDEN,994,8759779,215.5990465
BRISTOL,1133,11021292,195.3219278
SUFFOLK,1430,14561239,186.5912647
BERKSHIRE,232,2429321,181.4498784
ESSEX,1286,15328535,159.4020564
NORFOLK,1120,13785089,154.3696961
WORCESTER,1140,16395613,132.1085098
MIDDLESEX,1937,30724995,119.781956
FRANKLIN,83,1134304,117.0761983
PLYMOUTH,620,10128311,116.307645
HAMPSHIRE,111,2763996,68.27072109
NANTUCKET,9,100947,62.40898689
BARNSTABLE,140,4184226,60.22619237
DUKES,4,83472,19.16810427
%null%,40,#N/A,#N/A
Grand Total,10279,#N/A,#N/A
,10279,,
,"6,981,974",,
,,,
,147.2219748,,