CNTD(INFO_DM_CASE_ID)-value,CNTD(INFO_DM_CASE_ID)-alias,COUNTY-value,COUNTY-alias,COUNTY-[SMY PRCS JDGMNTS EXECUTIONS  (local copy)].[none:Calculation_1686598103769194499:nk]-value,COUNTY-[SMY PRCS JDGMNTS EXECUTIONS  (local copy)].[none:Calculation_1686598103769194499:nk]-alias,CNTD(INFO_DM_CASE_ID (copy))-alias,COUNTY (copy)-alias,MONTH(calc-color)-alias,population,per capita,,pop,,https://www.census.gov/data/tables/time-series/demo/popest/2020s-counties-total.html,,,,
0,0,0,0,BARNSTABLE,BAR,7,BARNSTABLE,May-22,232457,3.011309619,,,,,,,,
0,0,0,0,WORCESTER,WOR,46,WORCESTER,Apr-22,862927,5.330694253,,,,,,,,
0,0,0,0,SUFFOLK,SUF,49,SUFFOLK,Apr-22,766381,6.393686691,,,,,,,,
0,0,0,0,PLYMOUTH,PLY,24,PLYMOUTH,Apr-22,533069,4.502231418,,,,,,,,
0,0,0,0,NORFOLK,NOR,31,NORFOLK,Apr-22,725531,4.272732661,,,,,,,,
0,0,0,0,MIDDLESEX,MID,50,MIDDLESEX,Apr-22,1617105,3.091945174,,,,,,,,
0,0,0,0,HAMPSHIRE,HPS,4,HAMPSHIRE,Apr-22,162588,2.460206165,,,,,,,,
0,0,0,0,HAMPDEN,HPD,29,HAMPDEN,Apr-22,461041,6.290113027,,,,,,,,
0,0,0,0,FRANKLIN,FRA,3,FRANKLIN,Apr-22,70894,4.231669817,,,,,,,,
0,0,0,0,ESSEX,ESS,36,ESSEX,Apr-22,806765,4.462265963,,,,,,,,
0,0,0,0,BRISTOL,BRI,64,BRISTOL,Apr-22,580068,11.03318921,,,,,,,,
0,0,0,0,BERKSHIRE,BER,3,BERKSHIRE,Apr-22,127859,2.346334634,,,,,,,,
0,0,0,0,BARNSTABLE,BAR,4,BARNSTABLE,Apr-22,232457,1.720748353,,,,,,,,
0,0,0,0,%null%,TBD,1,%null%,Apr-22,#N/A,#N/A,,,,,,,,
0,0,0,0,WORCESTER,WOR,53,WORCESTER,Mar-22,862927,6.141886857,,,,,,,,
0,0,0,0,SUFFOLK,SUF,59,SUFFOLK,Mar-22,766381,7.69852071,,,,,,,,
0,0,0,0,PLYMOUTH,PLY,34,PLYMOUTH,Mar-22,533069,6.378161176,,,,,,,,
0,0,0,0,NORFOLK,NOR,57,NORFOLK,Mar-22,725531,7.856314892,,,,,,,,
0,0,0,0,MIDDLESEX,MID,90,MIDDLESEX,Mar-22,1617105,5.565501313,,,,,,,,
0,0,0,0,HAMPSHIRE,HPS,3,HAMPSHIRE,Mar-22,162588,1.845154624,,,,,,,,
0,0,0,0,HAMPDEN,HPD,39,HAMPDEN,Mar-22,461041,8.459117519,,,,,,,,
0,0,0,0,FRANKLIN,FRA,4,FRANKLIN,Mar-22,70894,5.642226423,,,,,,,,
0,0,0,0,ESSEX,ESS,51,ESSEX,Mar-22,806765,6.321543448,,,,,,,,
0,0,0,0,BRISTOL,BRI,38,BRISTOL,Mar-22,580068,6.550956095,,,,,,,,
0,0,0,0,BERKSHIRE,BER,16,BERKSHIRE,Mar-22,127859,12.51378472,,,,,,,,
0,0,0,0,BARNSTABLE,BAR,9,BARNSTABLE,Mar-22,232457,3.871683795,,,,,,,,
0,0,0,0,%null%,TBD,2,%null%,Mar-22,#N/A,#N/A,,,,,,,,
0,0,0,0,WORCESTER,WOR,33,WORCESTER,Feb-22,862927,3.824193704,,,,,,,,
0,0,0,0,SUFFOLK,SUF,46,SUFFOLK,Feb-22,766381,6.002236486,,,,,,,,
0,0,0,0,PLYMOUTH,PLY,17,PLYMOUTH,Feb-22,533069,3.189080588,,,,,,,,
0,0,0,0,NORFOLK,NOR,32,NORFOLK,Feb-22,725531,4.410562746,,,,,,,,
0,0,0,0,MIDDLESEX,MID,67,MIDDLESEX,Feb-22,1617105,4.143206533,,,,,,,,
0,0,0,0,HAMPDEN,HPD,33,HAMPDEN,Feb-22,461041,7.157714824,,,,,,,,
0,0,0,0,ESSEX,ESS,44,ESSEX,Feb-22,806765,5.453880622,,,,,,,,
0,0,0,0,BRISTOL,BRI,50,BRISTOL,Feb-22,580068,8.619679072,,,,,,,,
0,0,0,0,BERKSHIRE,BER,10,BERKSHIRE,Feb-22,127859,7.821115447,,,,,,,,
0,0,0,0,BARNSTABLE,BAR,6,BARNSTABLE,Feb-22,232457,2.58112253,,,,,,,,
0,0,0,0,%null%,TBD,1,%null%,Feb-22,#N/A,#N/A,,,,,,,,
0,0,0,0,WORCESTER,WOR,34,WORCESTER,Jan-22,862927,3.940078361,,,,,,,,
0,0,0,0,SUFFOLK,SUF,50,SUFFOLK,Jan-22,766381,6.524170093,,,,,,,,
0,0,0,0,PLYMOUTH,PLY,27,PLYMOUTH,Jan-22,533069,5.065010346,,,,,,,,
0,0,0,0,NORFOLK,NOR,42,NORFOLK,Jan-22,725531,5.788863605,,,,,,,,
0,0,0,0,MIDDLESEX,MID,41,MIDDLESEX,Jan-22,1617105,2.535395042,,,,,,,,
0,0,0,0,HAMPSHIRE,HPS,2,HAMPSHIRE,Jan-22,162588,1.230103083,,,,,,,,
0,0,0,0,HAMPDEN,HPD,25,HAMPDEN,Jan-22,461041,5.42251123,,,,,,,,
0,0,0,0,ESSEX,ESS,39,ESSEX,Jan-22,806765,4.83412146,,,,,,,,
0,0,0,0,BRISTOL,BRI,52,BRISTOL,Jan-22,580068,8.964466235,,,,,,,,
0,0,0,0,BERKSHIRE,BER,8,BERKSHIRE,Jan-22,127859,6.256892358,,,,,,,,
0,0,0,0,BARNSTABLE,BAR,2,BARNSTABLE,Jan-22,232457,0.860374177,,,,,,,,
0,0,0,0,%null%,TBD,2,%null%,Jan-22,#N/A,#N/A,,,,,,,,
0,0,0,0,WORCESTER,WOR,36,WORCESTER,Dec-21,862927,4.171847677,,,,,,,,
0,0,0,0,SUFFOLK,SUF,33,SUFFOLK,Dec-21,766381,4.305952261,,,,,,,,
0,0,0,0,PLYMOUTH,PLY,26,PLYMOUTH,Dec-21,533069,4.87741737,,,,,,,,
0,0,0,0,NORFOLK,NOR,44,NORFOLK,Dec-21,725531,6.064523776,,,,,,,,
0,0,0,0,NANTUCKET,NAN,3,NANTUCKET,Dec-21,14421,20.80299563,,,,,,,,
0,0,0,0,MIDDLESEX,MID,48,MIDDLESEX,Dec-21,1617105,2.968267367,,,,,,,,
0,0,0,0,HAMPSHIRE,HPS,1,HAMPSHIRE,Dec-21,162588,0.615051541,,,,,,,,
0,0,0,0,HAMPDEN,HPD,24,HAMPDEN,Dec-21,461041,5.205610781,,,,,,,,
0,0,0,0,FRANKLIN,FRA,3,FRANKLIN,Dec-21,70894,4.231669817,,,,,,,,
0,0,0,0,ESSEX,ESS,23,ESSEX,Dec-21,806765,2.850892143,,,,,,,,
0,0,0,0,BRISTOL,BRI,48,BRISTOL,Dec-21,580068,8.274891909,,,,,,,,
0,0,0,0,BERKSHIRE,BER,6,BERKSHIRE,Dec-21,127859,4.692669268,,,,,,,,
0,0,0,0,BARNSTABLE,BAR,8,BARNSTABLE,Dec-21,232457,3.441496707,,,,,,,,
0,0,0,0,%null%,TBD,1,%null%,Dec-21,#N/A,#N/A,,,,,,,,
0,0,0,0,WORCESTER,WOR,40,WORCESTER,Nov-21,862927,4.635386307,,,,,,,,
0,0,0,0,SUFFOLK,SUF,41,SUFFOLK,Nov-21,766381,5.349819476,,,,,,,,
0,0,0,0,PLYMOUTH,PLY,25,PLYMOUTH,Nov-21,533069,4.689824394,,,,,,,,
0,0,0,0,NORFOLK,NOR,42,NORFOLK,Nov-21,725531,5.788863605,,,,,,,,
0,0,0,0,MIDDLESEX,MID,58,MIDDLESEX,Nov-21,1617105,3.586656401,,,,,,,,
0,0,0,0,HAMPSHIRE,HPS,1,HAMPSHIRE,Nov-21,162588,0.615051541,,,,,,,,
0,0,0,0,HAMPDEN,HPD,23,HAMPDEN,Nov-21,461041,4.988710332,,,,,,,,
0,0,0,0,FRANKLIN,FRA,1,FRANKLIN,Nov-21,70894,1.410556606,,,,,,,,
0,0,0,0,ESSEX,ESS,48,ESSEX,Nov-21,806765,5.949687951,,,,,,,,
0,0,0,0,BRISTOL,BRI,53,BRISTOL,Nov-21,580068,9.136859816,,,,,,,,
0,0,0,0,BERKSHIRE,BER,9,BERKSHIRE,Nov-21,127859,7.039003903,,,,,,,,
0,0,0,0,BARNSTABLE,BAR,6,BARNSTABLE,Nov-21,232457,2.58112253,,,,,,,,
0,0,0,0,%null%,TBD,2,%null%,Nov-21,#N/A,#N/A,,,,,,,,
0,0,0,0,WORCESTER,WOR,50,WORCESTER,Oct-21,862927,5.794232884,,,,,,,,
0,0,0,0,SUFFOLK,SUF,50,SUFFOLK,Oct-21,766381,6.524170093,,,,,,,,
0,0,0,0,PLYMOUTH,PLY,36,PLYMOUTH,Oct-21,533069,6.753347128,,,,,,,,
0,0,0,0,NORFOLK,NOR,26,NORFOLK,Oct-21,725531,3.583582231,,,,,,,,
0,0,0,0,MIDDLESEX,MID,51,MIDDLESEX,Oct-21,1617105,3.153784077,,,,,,,,
0,0,0,0,HAMPSHIRE,HPS,4,HAMPSHIRE,Oct-21,162588,2.460206165,,,,,,,,
0,0,0,0,HAMPDEN,HPD,49,HAMPDEN,Oct-21,461041,10.62812201,,,,,,,,
0,0,0,0,ESSEX,ESS,54,ESSEX,Oct-21,806765,6.693398945,,,,,,,,
0,0,0,0,BRISTOL,BRI,39,BRISTOL,Oct-21,580068,6.723349676,,,,,,,,
0,0,0,0,BERKSHIRE,BER,18,BERKSHIRE,Oct-21,127859,14.07800781,,,,,,,,
0,0,0,0,BARNSTABLE,BAR,13,BARNSTABLE,Oct-21,232457,5.592432149,,,,,,,,
0,0,0,0,%null%,TBD,2,%null%,Oct-21,#N/A,#N/A,,,,,,,,
0,0,0,0,WORCESTER,WOR,65,WORCESTER,Sep-21,862927,7.532502749,,,,,,,,
0,0,0,0,SUFFOLK,SUF,32,SUFFOLK,Sep-21,766381,4.175468859,,,,,,,,
0,0,0,0,PLYMOUTH,PLY,42,PLYMOUTH,Sep-21,533069,7.878904982,,,,,,,,
0,0,0,0,NORFOLK,NOR,46,NORFOLK,Sep-21,725531,6.340183948,,,,,,,,
0,0,0,0,NANTUCKET,NAN,3,NANTUCKET,Sep-21,14421,20.80299563,,,,,,,,
0,0,0,0,MIDDLESEX,MID,112,MIDDLESEX,Sep-21,1617105,6.925957189,,,,,,,,
0,0,0,0,HAMPSHIRE,HPS,3,HAMPSHIRE,Sep-21,162588,1.845154624,,,,,,,,
0,0,0,0,HAMPDEN,HPD,32,HAMPDEN,Sep-21,461041,6.940814374,,,,,,,,
0,0,0,0,FRANKLIN,FRA,1,FRANKLIN,Sep-21,70894,1.410556606,,,,,,,,
0,0,0,0,ESSEX,ESS,65,ESSEX,Sep-21,806765,8.056869101,,,,,,,,
0,0,0,0,DUKES,DUK,1,DUKES,Sep-21,20868,4.792026069,,,,,,,,
0,0,0,0,BRISTOL,BRI,74,BRISTOL,Sep-21,580068,12.75712503,,,,,,,,
0,0,0,0,BERKSHIRE,BER,13,BERKSHIRE,Sep-21,127859,10.16745008,,,,,,,,
0,0,0,0,BARNSTABLE,BAR,1,BARNSTABLE,Sep-21,232457,0.430187088,,,,,,,,
0,0,0,0,WORCESTER,WOR,66,WORCESTER,Aug-21,862927,7.648387407,,,,,,,,
0,0,0,0,SUFFOLK,SUF,50,SUFFOLK,Aug-21,766381,6.524170093,,,,,,,,
0,0,0,0,PLYMOUTH,PLY,27,PLYMOUTH,Aug-21,533069,5.065010346,,,,,,,,
0,0,0,0,NORFOLK,NOR,44,NORFOLK,Aug-21,725531,6.064523776,,,,,,,,
0,0,0,0,NANTUCKET,NAN,1,NANTUCKET,Aug-21,14421,6.934331877,,,,,,,,
0,0,0,0,MIDDLESEX,MID,86,MIDDLESEX,Aug-21,1617105,5.318145699,,,,,,,,
0,0,0,0,HAMPSHIRE,HPS,2,HAMPSHIRE,Aug-21,162588,1.230103083,,,,,,,,
0,0,0,0,HAMPDEN,HPD,34,HAMPDEN,Aug-21,461041,7.374615273,,,,,,,,
0,0,0,0,ESSEX,ESS,46,ESSEX,Aug-21,806765,5.701784287,,,,,,,,
0,0,0,0,BRISTOL,BRI,59,BRISTOL,Aug-21,580068,10.17122131,,,,,,,,
0,0,0,0,BERKSHIRE,BER,12,BERKSHIRE,Aug-21,127859,9.385338537,,,,,,,,
0,0,0,0,BARNSTABLE,BAR,8,BARNSTABLE,Aug-21,232457,3.441496707,,,,,,,,
0,0,0,0,%null%,TBD,2,%null%,Aug-21,#N/A,#N/A,,,,,,,,
0,0,0,0,WORCESTER,WOR,38,WORCESTER,Jul-21,862927,4.403616992,,,,,,,,
0,0,0,0,SUFFOLK,SUF,29,SUFFOLK,Jul-21,766381,3.784018654,,,,,,,,
0,0,0,0,PLYMOUTH,PLY,12,PLYMOUTH,Jul-21,533069,2.251115709,,,,,,,,
0,0,0,0,NORFOLK,NOR,14,NORFOLK,Jul-21,725531,1.929621202,,,,,,,,
0,0,0,0,NANTUCKET,NAN,1,NANTUCKET,Jul-21,14421,6.934331877,,,,,,,,
0,0,0,0,MIDDLESEX,MID,51,MIDDLESEX,Jul-21,1617105,3.153784077,,,,,,,,
0,0,0,0,HAMPSHIRE,HPS,5,HAMPSHIRE,Jul-21,162588,3.075257707,,,,,,,,
0,0,0,0,HAMPDEN,HPD,30,HAMPDEN,Jul-21,461041,6.507013476,,,,,,,,
0,0,0,0,FRANKLIN,FRA,2,FRANKLIN,Jul-21,70894,2.821113211,,,,,,,,
0,0,0,0,ESSEX,ESS,46,ESSEX,Jul-21,806765,5.701784287,,,,,,,,
0,0,0,0,DUKES,DUK,1,DUKES,Jul-21,20868,4.792026069,,,,,,,,
0,0,0,0,BRISTOL,BRI,39,BRISTOL,Jul-21,580068,6.723349676,,,,,,,,
0,0,0,0,BERKSHIRE,BER,19,BERKSHIRE,Jul-21,127859,14.86011935,,,,,,,,
0,0,0,0,BARNSTABLE,BAR,9,BARNSTABLE,Jul-21,232457,3.871683795,,,,,,,,
0,0,0,0,%null%,TBD,2,%null%,Jul-21,#N/A,#N/A,,,,,,,,
0,0,0,0,WORCESTER,WOR,52,WORCESTER,Jun-21,862927,6.026002199,,,,,,,,
0,0,0,0,SUFFOLK,SUF,39,SUFFOLK,Jun-21,766381,5.088852672,,,,,,,,
0,0,0,0,PLYMOUTH,PLY,21,PLYMOUTH,Jun-21,533069,3.939452491,,,,,,,,
0,0,0,0,NORFOLK,NOR,31,NORFOLK,Jun-21,725531,4.272732661,,,,,,,,
0,0,0,0,NANTUCKET,NAN,1,NANTUCKET,Jun-21,14421,6.934331877,,,,,,,,
0,0,0,0,MIDDLESEX,MID,80,MIDDLESEX,Jun-21,1617105,4.947112278,,,,,,,,
0,0,0,0,HAMPSHIRE,HPS,2,HAMPSHIRE,Jun-21,162588,1.230103083,,,,,,,,
0,0,0,0,HAMPDEN,HPD,34,HAMPDEN,Jun-21,461041,7.374615273,,,,,,,,
0,0,0,0,ESSEX,ESS,51,ESSEX,Jun-21,806765,6.321543448,,,,,,,,
0,0,0,0,BRISTOL,BRI,48,BRISTOL,Jun-21,580068,8.274891909,,,,,,,,
0,0,0,0,BERKSHIRE,BER,6,BERKSHIRE,Jun-21,127859,4.692669268,,,,,,,,
0,0,0,0,BARNSTABLE,BAR,14,BARNSTABLE,Jun-21,232457,6.022619237,,,,,,,,
0,0,0,0,%null%,TBD,2,%null%,Jun-21,#N/A,#N/A,,,,,,,,
0,0,0,0,WORCESTER,WOR,51,WORCESTER,May-21,862927,5.910117542,,,,,,,,
0,0,0,0,SUFFOLK,SUF,34,SUFFOLK,May-21,766381,4.436435663,,,,,,,,
0,0,0,0,PLYMOUTH,PLY,17,PLYMOUTH,May-21,533069,3.189080588,,,,,,,,
0,0,0,0,NORFOLK,NOR,15,NORFOLK,May-21,725531,2.067451287,,,,,,,,
0,0,0,0,NANTUCKET,NAN,1,NANTUCKET,May-21,14421,6.934331877,,,,,,,,
0,0,0,0,MIDDLESEX,MID,52,MIDDLESEX,May-21,1617105,3.215622981,,,,,,,,
0,0,0,0,HAMPSHIRE,HPS,1,HAMPSHIRE,May-21,162588,0.615051541,,,,,,,,
0,0,0,0,HAMPDEN,HPD,18,HAMPDEN,May-21,461041,3.904208086,,,,,,,,
0,0,0,0,FRANKLIN,FRA,1,FRANKLIN,May-21,70894,1.410556606,,,,,,,,
0,0,0,0,ESSEX,ESS,31,ESSEX,May-21,806765,3.842506802,,,,,,,,
0,0,0,0,BRISTOL,BRI,48,BRISTOL,May-21,580068,8.274891909,,,,,,,,
0,0,0,0,BERKSHIRE,BER,6,BERKSHIRE,May-21,127859,4.692669268,,,,,,,,
0,0,0,0,BARNSTABLE,BAR,12,BARNSTABLE,May-21,232457,5.16224506,,,,,,,,
0,0,0,0,%null%,TBD,1,%null%,May-21,#N/A,#N/A,,,,,,,,
0,0,0,0,WORCESTER,WOR,54,WORCESTER,Apr-21,862927,6.257771515,,,,,,,,
0,0,0,0,SUFFOLK,SUF,27,SUFFOLK,Apr-21,766381,3.52305185,,,,,,,,
0,0,0,0,PLYMOUTH,PLY,17,PLYMOUTH,Apr-21,533069,3.189080588,,,,,,,,
0,0,0,0,NORFOLK,NOR,29,NORFOLK,Apr-21,725531,3.997072489,,,,,,,,
0,0,0,0,MIDDLESEX,MID,58,MIDDLESEX,Apr-21,1617105,3.586656401,,,,,,,,
0,0,0,0,HAMPSHIRE,HPS,1,HAMPSHIRE,Apr-21,162588,0.615051541,,,,,,,,
0,0,0,0,HAMPDEN,HPD,23,HAMPDEN,Apr-21,461041,4.988710332,,,,,,,,
0,0,0,0,FRANKLIN,FRA,2,FRANKLIN,Apr-21,70894,2.821113211,,,,,,,,
0,0,0,0,ESSEX,ESS,26,ESSEX,Apr-21,806765,3.22274764,,,,,,,,
0,0,0,0,BRISTOL,BRI,62,BRISTOL,Apr-21,580068,10.68840205,,,,,,,,
0,0,0,0,BERKSHIRE,BER,12,BERKSHIRE,Apr-21,127859,9.385338537,,,,,,,,
0,0,0,0,BARNSTABLE,BAR,12,BARNSTABLE,Apr-21,232457,5.16224506,,,,,,,,
0,0,0,0,WORCESTER,WOR,48,WORCESTER,Mar-21,862927,5.562463569,,,,,,,,
0,0,0,0,SUFFOLK,SUF,33,SUFFOLK,Mar-21,766381,4.305952261,,,,,,,,
0,0,0,0,PLYMOUTH,PLY,25,PLYMOUTH,Mar-21,533069,4.689824394,,,,,,,,
0,0,0,0,NORFOLK,NOR,30,NORFOLK,Mar-21,725531,4.134902575,,,,,,,,
0,0,0,0,NANTUCKET,NAN,1,NANTUCKET,Mar-21,14421,6.934331877,,,,,,,,
0,0,0,0,MIDDLESEX,MID,49,MIDDLESEX,Mar-21,1617105,3.03010627,,,,,,,,
0,0,0,0,HAMPSHIRE,HPS,1,HAMPSHIRE,Mar-21,162588,0.615051541,,,,,,,,
0,0,0,0,HAMPDEN,HPD,40,HAMPDEN,Mar-21,461041,8.676017968,,,,,,,,
0,0,0,0,FRANKLIN,FRA,1,FRANKLIN,Mar-21,70894,1.410556606,,,,,,,,
0,0,0,0,ESSEX,ESS,41,ESSEX,Mar-21,806765,5.082025125,,,,,,,,
0,0,0,0,DUKES,DUK,1,DUKES,Mar-21,20868,4.792026069,,,,,,,,
0,0,0,0,BRISTOL,BRI,93,BRISTOL,Mar-21,580068,16.03260307,,,,,,,,
0,0,0,0,BERKSHIRE,BER,13,BERKSHIRE,Mar-21,127859,10.16745008,,,,,,,,
0,0,0,0,BARNSTABLE,BAR,10,BARNSTABLE,Mar-21,232457,4.301870884,,,,,,,,
0,0,0,0,%null%,TBD,1,%null%,Mar-21,#N/A,#N/A,,,,,,,,
0,0,0,0,WORCESTER,WOR,58,WORCESTER,Feb-21,862927,6.721310146,,,,,,,,
0,0,0,0,SUFFOLK,SUF,8,SUFFOLK,Feb-21,766381,1.043867215,,,,,,,,
0,0,0,0,PLYMOUTH,PLY,22,PLYMOUTH,Feb-21,533069,4.127045467,,,,,,,,
0,0,0,0,NORFOLK,NOR,31,NORFOLK,Feb-21,725531,4.272732661,,,,,,,,
0,0,0,0,NANTUCKET,NAN,1,NANTUCKET,Feb-21,14421,6.934331877,,,,,,,,
0,0,0,0,MIDDLESEX,MID,34,MIDDLESEX,Feb-21,1617105,2.102522718,,,,,,,,
0,0,0,0,HAMPSHIRE,HPS,2,HAMPSHIRE,Feb-21,162588,1.230103083,,,,,,,,
0,0,0,0,HAMPDEN,HPD,16,HAMPDEN,Feb-21,461041,3.470407187,,,,,,,,
0,0,0,0,FRANKLIN,FRA,2,FRANKLIN,Feb-21,70894,2.821113211,,,,,,,,
0,0,0,0,ESSEX,ESS,49,ESSEX,Feb-21,806765,6.073639784,,,,,,,,
0,0,0,0,BRISTOL,BRI,60,BRISTOL,Feb-21,580068,10.34361489,,,,,,,,
0,0,0,0,BERKSHIRE,BER,5,BERKSHIRE,Feb-21,127859,3.910557724,,,,,,,,
0,0,0,0,BARNSTABLE,BAR,21,BARNSTABLE,Feb-21,232457,9.033928856,,,,,,,,
0,0,0,0,WORCESTER,WOR,66,WORCESTER,Jan-21,862927,7.648387407,,,,,,,,
0,0,0,0,SUFFOLK,SUF,9,SUFFOLK,Jan-21,766381,1.174350617,,,,,,,,
0,0,0,0,PLYMOUTH,PLY,15,PLYMOUTH,Jan-21,533069,2.813894637,,,,,,,,
0,0,0,0,NORFOLK,NOR,11,NORFOLK,Jan-21,725531,1.516130944,,,,,,,,
0,0,0,0,NANTUCKET,NAN,1,NANTUCKET,Jan-21,14421,6.934331877,,,,,,,,
0,0,0,0,MIDDLESEX,MID,37,MIDDLESEX,Jan-21,1617105,2.288039428,,,,,,,,
0,0,0,0,HAMPSHIRE,HPS,1,HAMPSHIRE,Jan-21,162588,0.615051541,,,,,,,,
0,0,0,0,HAMPDEN,HPD,18,HAMPDEN,Jan-21,461041,3.904208086,,,,,,,,
0,0,0,0,FRANKLIN,FRA,2,FRANKLIN,Jan-21,70894,2.821113211,,,,,,,,
0,0,0,0,ESSEX,ESS,24,ESSEX,Jan-21,806765,2.974843976,,,,,,,,
0,0,0,0,BRISTOL,BRI,69,BRISTOL,Jan-21,580068,11.89515712,,,,,,,,
0,0,0,0,BERKSHIRE,BER,12,BERKSHIRE,Jan-21,127859,9.385338537,,,,,,,,
0,0,0,0,BARNSTABLE,BAR,9,BARNSTABLE,Jan-21,232457,3.871683795,,,,,,,,
0,0,0,0,%null%,TBD,3,%null%,Jan-21,#N/A,#N/A,,,,,,,,
0,0,0,0,WORCESTER,WOR,31,WORCESTER,Dec-20,862927,3.592424388,,,,,,,,
0,0,0,0,SUFFOLK,SUF,14,SUFFOLK,Dec-20,766381,1.826767626,,,,,,,,
0,0,0,0,PLYMOUTH,PLY,16,PLYMOUTH,Dec-20,533069,3.001487612,,,,,,,,
0,0,0,0,NORFOLK,NOR,14,NORFOLK,Dec-20,725531,1.929621202,,,,,,,,
0,0,0,0,MIDDLESEX,MID,43,MIDDLESEX,Dec-20,1617105,2.659072849,,,,,,,,
0,0,0,0,HAMPSHIRE,HPS,3,HAMPSHIRE,Dec-20,162588,1.845154624,,,,,,,,
0,0,0,0,HAMPDEN,HPD,39,HAMPDEN,Dec-20,461041,8.459117519,,,,,,,,
0,0,0,0,FRANKLIN,FRA,2,FRANKLIN,Dec-20,70894,2.821113211,,,,,,,,
0,0,0,0,ESSEX,ESS,42,ESSEX,Dec-20,806765,5.205976957,,,,,,,,
0,0,0,0,BRISTOL,BRI,61,BRISTOL,Dec-20,580068,10.51600847,,,,,,,,
0,0,0,0,BERKSHIRE,BER,14,BERKSHIRE,Dec-20,127859,10.94956163,,,,,,,,
0,0,0,0,BARNSTABLE,BAR,17,BARNSTABLE,Dec-20,232457,7.313180502,,,,,,,,
0,0,0,0,%null%,TBD,1,%null%,Dec-20,#N/A,#N/A,,,,,,,,
0,0,0,0,WORCESTER,WOR,29,WORCESTER,Nov-20,862927,3.360655073,,,,,,,,
0,0,0,0,SUFFOLK,SUF,4,SUFFOLK,Nov-20,766381,0.521933607,,,,,,,,
0,0,0,0,PLYMOUTH,PLY,8,PLYMOUTH,Nov-20,533069,1.500743806,,,,,,,,
0,0,0,0,NORFOLK,NOR,15,NORFOLK,Nov-20,725531,2.067451287,,,,,,,,
0,0,0,0,MIDDLESEX,MID,34,MIDDLESEX,Nov-20,1617105,2.102522718,,,,,,,,
0,0,0,0,HAMPSHIRE,HPS,2,HAMPSHIRE,Nov-20,162588,1.230103083,,,,,,,,
0,0,0,0,HAMPDEN,HPD,31,HAMPDEN,Nov-20,461041,6.723913925,,,,,,,,
0,0,0,0,ESSEX,ESS,26,ESSEX,Nov-20,806765,3.22274764,,,,,,,,
0,0,0,0,DUKES,DUK,1,DUKES,Nov-20,20868,4.792026069,,,,,,,,
0,0,0,0,BRISTOL,BRI,47,BRISTOL,Nov-20,580068,8.102498328,,,,,,,,
0,0,0,0,BERKSHIRE,BER,12,BERKSHIRE,Nov-20,127859,9.385338537,,,,,,,,
0,0,0,0,BARNSTABLE,BAR,7,BARNSTABLE,Nov-20,232457,3.011309619,,,,,,,,
0,0,0,0,WORCESTER,WOR,13,WORCESTER,Oct-20,862927,1.50650055,,,,,,,,
0,0,0,0,SUFFOLK,SUF,6,SUFFOLK,Oct-20,766381,0.782900411,,,,,,,,
0,0,0,0,PLYMOUTH,PLY,4,PLYMOUTH,Oct-20,533069,0.750371903,,,,,,,,
0,0,0,0,NORFOLK,NOR,4,NORFOLK,Oct-20,725531,0.551320343,,,,,,,,
0,0,0,0,MIDDLESEX,MID,7,MIDDLESEX,Oct-20,1617105,0.432872324,,,,,,,,
0,0,0,0,HAMPSHIRE,HPS,2,HAMPSHIRE,Oct-20,162588,1.230103083,,,,,,,,
0,0,0,0,HAMPDEN,HPD,24,HAMPDEN,Oct-20,461041,5.205610781,,,,,,,,
0,0,0,0,ESSEX,ESS,18,ESSEX,Oct-20,806765,2.231132982,,,,,,,,
0,0,0,0,DUKES,DUK,1,DUKES,Oct-20,20868,4.792026069,,,,,,,,
0,0,0,0,BRISTOL,BRI,32,BRISTOL,Oct-20,580068,5.516594606,,,,,,,,
0,0,0,0,BERKSHIRE,BER,2,BERKSHIRE,Oct-20,127859,1.564223089,,,,,,,,
0,0,0,0,BARNSTABLE,BAR,2,BARNSTABLE,Oct-20,232457,0.860374177,,,,,,,,